time,seconds_elapsed,z,y,x
1782845422134368000,0.061367919921875,-0.911834716796875,-0.1894378662109375,-0.033233642578125
1782845422144373000,0.071373046875,-0.916046142578125,-0.214447021484375,-0.0460205078125
1782845422154377000,0.081376953125,-0.9314727783203125,-0.2263031005859375,-0.04766845703125
1782845422164382000,0.0913818359375,-0.9489898681640625,-0.2301025390625,-0.041259765625
1782845422174385700,0.1013857421875,-0.98065185546875,-0.2338104248046875,-0.0334014892578125
1782845422184390700,0.111390625,-1.013641357421875,-0.23443603515625,-0.0283660888671875
1782845422194395000,0.121394775390625,-1.024932861328125,-0.22442626953125,-0.0146636962890625
1782845422204399900,0.13139990234375,-1.0282745361328125,-0.2187042236328125,-0.0052337646484375
1782845422214403800,0.14140380859375,-1.063873291015625,-0.196868896484375,-0.0206146240234375
1782845422224408800,0.151408935546875,-1.07257080078125,-0.1871337890625,-0.0166778564453125
1782845422234413800,0.161413818359375,-1.0768585205078125,-0.18695068359375,-0.0111236572265625
1782845422244417800,0.171417724609375,-1.0827789306640625,-0.179290771484375,-0.0102081298828125
1782845422254422800,0.1814228515625,-1.0654144287109375,-0.1703948974609375,-0.0094757080078125
1782845422264427000,0.191427001953125,-1.0311126708984375,-0.1715545654296875,-0.0062255859375
1782845422274432000,0.201431884765625,-0.996337890625,-0.1807708740234375,0.0057220458984375
1782845422284436000,0.21143603515625,-0.9678497314453125,-0.187225341796875,0.016265869140625
1782845422294441000,0.22144091796875,-0.939056396484375,-0.1950225830078125,0.0149078369140625
1782845422304444700,0.231444580078125,-0.9148406982421875,-0.198974609375,0.0173492431640625
1782845422314449700,0.24144970703125,-0.909759521484375,-0.19921875,0.02093505859375
1782845422324454000,0.251453857421875,-0.9243621826171875,-0.1976776123046875,0.027191162109375
1782845422334459000,0.261458984375,-0.9373321533203125,-0.20001220703125,0.0276031494140625
1782845422344462800,0.271462890625,-0.950347900390625,-0.200408935546875,0.0276641845703125
1782845422354467800,0.2814677734375,-0.95465087890625,-0.2019805908203125,0.0287933349609375
1782845422364471800,0.291471923828125,-0.959136962890625,-0.2174224853515625,0.020782470703125
1782845422374476800,0.301476806640625,-0.9596710205078125,-0.238006591796875,0.017852783203125
1782845422384481000,0.31148095703125,-0.961395263671875,-0.2509307861328125,0.0200958251953125
1782845422394486000,0.321486083984375,-0.966461181640625,-0.260772705078125,0.0153350830078125
1782845422404491000,0.331490966796875,-0.9762725830078125,-0.2649993896484375,0.005126953125
1782845422414495000,0.341494873046875,-0.997406005859375,-0.26568603515625,-0.003692626953125
1782845422424500000,0.3515,-1.025238037109375,-0.265625,-0.0172271728515625
1782845422434503700,0.361503662109375,-1.0392913818359375,-0.264801025390625,-0.0318450927734375
1782845422444508700,0.3715087890625,-1.0503387451171875,-0.2646331787109375,-0.0429229736328125
1782845422454513000,0.381512939453125,-1.0552520751953125,-0.26678466796875,-0.0531463623046875
1782845422464518000,0.391517822265625,-1.0432281494140625,-0.2683258056640625,-0.0576171875
1782845422474521900,0.40152197265625,-1.0373992919921875,-0.25048828125,-0.064544677734375
1782845422484526800,0.41152685546875,-1.00787353515625,-0.2331390380859375,-0.0746917724609375
1782845422494530800,0.42153076171875,-0.977813720703125,-0.2272796630859375,-0.0740509033203125
1782845422504535800,0.431535888671875,-0.95745849609375,-0.215118408203125,-0.0696563720703125
1782845422514540000,0.4415400390625,-0.9400177001953125,-0.2116241455078125,-0.05902099609375
1782845422524545000,0.451544921875,-0.9221038818359375,-0.2179107666015625,-0.050140380859375
1782845422534549000,0.461549072265625,-0.922119140625,-0.2231292724609375,-0.0353546142578125
1782845422544554000,0.471553955078125,-0.92462158203125,-0.221282958984375,-0.0133514404296875
1782845422554557700,0.4815576171875,-0.929901123046875,-0.2230072021484375,0.0050811767578125
1782845422564562700,0.491562744140625,-0.9329833984375,-0.217071533203125,0.0207672119140625
1782845422574567700,0.501567626953125,-0.948028564453125,-0.2213897705078125,0.0358734130859375
1782845422584572000,0.511572021484375,-0.9774322509765625,-0.226104736328125,0.0440521240234375
1782845422594577000,0.521576904296875,-1.0120086669921875,-0.2332763671875,0.0398101806640625
1782845422604580900,0.531580810546875,-1.03790283203125,-0.23699951171875,0.0357818603515625
1782845422614585900,0.5415859375,-1.0650787353515625,-0.2378082275390625,0.0327911376953125
1782845422624589800,0.55158984375,-1.082977294921875,-0.236541748046875,0.0355682373046875
1782845422634594800,0.5615947265625,-1.0952606201171875,-0.220367431640625,0.042266845703125
1782845422644599000,0.57159912109375,-1.1069488525390625,-0.215240478515625,0.0408172607421875
1782845422654604000,0.58160400390625,-1.11883544921875,-0.221435546875,0.0426483154296875
1782845422664608000,0.59160791015625,-1.1459808349609375,-0.21661376953125,0.0533447265625
1782845422674613000,0.601613037109375,-1.1711273193359375,-0.19940185546875,0.061492919921875
1782845422684616700,0.61161669921875,-1.1736907958984375,-0.196136474609375,0.062530517578125
1782845422694621700,0.62162158203125,-1.159698486328125,-0.19659423828125,0.0590057373046875
1782845422704626000,0.6316259765625,-1.1320953369140625,-0.192138671875,0.05169677734375
1782845422714631000,0.641630859375,-1.092987060546875,-0.186279296875,0.0433502197265625
1782845422724635000,0.651634765625,-1.0475921630859375,-0.1826171875,0.033966064453125
1782845422734639900,0.661639892578125,-1.00054931640625,-0.180267333984375,0.0253143310546875
1782845422744644900,0.671644775390625,-0.954833984375,-0.18475341796875,0.019805908203125
1782845422754648800,0.68164892578125,-0.9171295166015625,-0.18621826171875,0.0095062255859375
1782845422764653800,0.69165380859375,-0.8796234130859375,-0.177825927734375,0.010498046875
1782845422774658000,0.701657958984375,-0.8494720458984375,-0.1723175048828125,0.0168609619140625
1782845422784663000,0.7116630859375,-0.8289642333984375,-0.1675872802734375,0.0205230712890625
1782845422794667000,0.7216669921875,-0.8211212158203125,-0.158111572265625,0.0151824951171875
1782845422804672000,0.731672119140625,-0.8136444091796875,-0.14935302734375,0.009735107421875
1782845422814675700,0.74167578125,-0.803375244140625,-0.1405181884765625,0.008880615234375
