time,seconds_elapsed,z,y,x
1782846760231335700,0.072335693359375,0.033061496913433075,0.13662730157375336,0.06286798417568207
1782846760241340700,0.082340576171875,0.041913311928510666,0.15750594437122345,-0.06302869319915771
1782846760251344600,0.0923447265625,-0.01053713820874691,0.14361083507537842,-0.2132790982723236
1782846760261349600,0.102349609375,-0.09100428968667984,0.08109738677740097,-0.3778238296508789
1782846760271354600,0.112354736328125,-0.18550169467926025,0.00381325650960207,-0.5134696960449219
1782846760281358600,0.122358642578125,-0.24597115814685822,-0.10077094286680222,-0.5835254788398743
1782846760291363800,0.13236376953125,-0.24067988991737366,-0.2281411588191986,-0.5350754857063293
1782846760301368800,0.142368896484375,-0.17780105769634247,-0.36903807520866394,-0.38621488213539124
1782846760311372800,0.152372802734375,-0.07623344659805298,-0.5177599787712097,-0.2014113962650299
1782846760321377800,0.162377685546875,-0.00045639858581125736,-0.7003419995307922,-0.03958706930279732
1782846760331382800,0.1723828125,0.036895934492349625,-0.8809608221054077,0.07171715795993805
1782846760341386800,0.18238671875,0.04488275200128555,-1.0622491836547852,0.11679728329181671
1782846760351391700,0.192391845703125,-0.004367274232208729,-1.1822015047073364,0.08505373448133469
1782846760361396700,0.202396728515625,-0.06052108854055405,-1.289754867553711,0.025451919063925743
1782846760371400700,0.212400634765625,-0.1210913211107254,-1.177229881286621,-0.10207036882638931
1782846760381405700,0.22240576171875,-0.17523232102394104,-0.9312454462051392,-0.2852391004562378
1782846760391410700,0.23241064453125,-0.23261022567749023,-0.6808305382728577,-0.4830051362514496
1782846760401414700,0.24241455078125,-0.254367470741272,-0.47615140676498413,-0.6608145236968994
1782846760411419600,0.252419677734375,-0.2689562141895294,-0.3396424651145935,-0.8036417365074158
1782846760421424600,0.262424560546875,-0.2645431160926819,-0.23290134966373444,-0.8848268389701843
1782846760431428600,0.2724287109375,-0.25746461749076843,-0.09154441952705383,-0.8452097177505493
1782846760441433600,0.28243359375,-0.2584872841835022,-0.002662752056494355,-0.6938455104827881
1782846760451438600,0.2924384765625,-0.2681368291378021,0.03312474116683006,-0.45793476700782776
1782846760461442800,0.30244287109375,-0.2632019817829132,0.07916440069675446,-0.18054898083209991
1782846760471447800,0.31244775390625,-0.25206679105758667,0.15764063596725464,0.08345995098352432
1782846760481452800,0.322452880859375,-0.23336897790431976,0.25948870182037354,0.29029300808906555
1782846760491456800,0.332456787109375,-0.19526542723178864,0.33164793252944946,0.4255218207836151
1782846760501461800,0.342461669921875,-0.1413651704788208,0.3723604679107666,0.49618640542030334
1782846760511466800,0.352466796875,-0.08976326882839203,0.38932061195373535,0.5194600820541382
1782846760521470700,0.362470703125,-0.0525147020816803,0.3698022961616516,0.494489461183548
1782846760531475700,0.372475830078125,-0.034574173390865326,0.3202325403690338,0.43879440426826477
1782846760541480700,0.382480712890625,-0.03729965165257454,0.2401113510131836,0.35022059082984924
1782846760551484700,0.392484619140625,-0.07398178428411484,0.12831330299377441,0.2363150417804718
1782846760561489700,0.40248974609375,-0.1377096325159073,0.01487329788506031,0.11130013316869736
1782846760571495000,0.412494873046875,-0.2079428732395172,-0.09446097910404205,-0.012092450633645058
1782846760581498600,0.42249853515625,-0.2651723325252533,-0.19554871320724487,-0.13627059757709503
1782846760591503600,0.432503662109375,-0.31897056102752686,-0.24026578664779663,-0.2398069053888321
1782846760601508600,0.442508544921875,-0.3917587697505951,-0.23888519406318665,-0.30218639969825745
1782846760611512600,0.4525126953125,-0.4962399899959564,-0.15698102116584778,-0.29806026816368103
1782846760621517600,0.462517578125,-0.6100741624832153,0.0004791785031557083,-0.20991070568561554
1782846760631522600,0.4725224609375,-0.7377999424934387,0.21782615780830383,-0.08510714769363403
