time,seconds_elapsed,z,y,x
1782845798230105900,0.07710595703125,-0.05570610513091087,0.015539295241609215,-0.018741525349020956
1782845798240110800,0.08711083984375,-0.0041582887232303615,0.01068031090311706,-0.011617226427048445
1782845798250116000,0.0971162109375,0.03413958548903465,0.01595510950088501,-0.041920156362652776
1782845798260121000,0.10712109375,0.052664253216981885,0.022773338148370383,-0.026668811216950417
1782845798270126000,0.1171259765625,0.08004676566123962,0.01416917593218386,-0.004563654653728008
1782845798280131000,0.127131103515625,0.11567395935952662,-0.011499518331512809,0.02492211368009448
1782845798290136000,0.137135986328125,0.13036591705679892,-0.027917934495210645,0.010200491496920585
1782845798300141000,0.14714111328125,0.1319353583306074,-0.001211129355430603,-0.00856572990193963
1782845798310146000,0.15714599609375,0.1561480085670948,-0.016728651156648993,-0.04797507248744368
1782845798320152000,0.167152099609375,0.14952420651316642,-0.006136237732693553,-0.0462847813129425
1782845798330157000,0.177156982421875,0.13625906674861907,0.0024042846627533435,-0.08636120950505137
1782845798340162000,0.187162109375,0.1303618254035711,0.007978577663749455,-0.09619228316769003
1782845798350167000,0.1971669921875,0.10125555790662764,0.031176570964977144,-0.08689020181521773
1782845798360172000,0.207172119140625,0.06978314580023288,0.02617854348197579,-0.0674528031565249
1782845798370177000,0.217177001953125,-0.015566986966133118,0.00017594108879566192,-0.02653787831366062
1782845798380182000,0.22718212890625,-0.08757190046906471,-0.000006064414605498313,0.01888838647380471
1782845798390187000,0.23718701171875,-0.11341419773399829,0.009118468413874507,0.04627499057129025
1782845798400192000,0.24719189453125,-0.07582301048636436,0.031898820824921126,0.06359919646829366
1782845798410197000,0.257197021484375,-0.010342530316114425,0.04272475074380636,0.0645452451467514
1782845798420202000,0.267201904296875,0.03026186727285385,0.04009264867454767,0.030257337228208777
1782845798430207000,0.27720703125,0.1029132619857788,0.028451456850022077,0.029363895519822835
1782845798440212000,0.2872119140625,0.16389350812733172,0.010080883705243468,0.06636135465800762
1782845798450217000,0.297217041015625,0.20332477028369902,-0.004233545916527509,0.09641498600766062
1782845798460222000,0.307221923828125,0.235302209302783,-0.029522812408581376,0.10475655176490545
1782845798470227000,0.31722705078125,0.20215046580731869,-0.02046498814076185,0.10369608292654156
1782845798480232000,0.32723193359375,0.13935878632962703,-0.0018289689928293227,0.11691329189613461
1782845798490238000,0.337238037109375,0.138693015897274,0.0023348726883530616,0.14903642299622297
1782845798500243000,0.347242919921875,0.11751286522448062,-0.009780366388708352,0.16680530392080545
1782845798510248000,0.357248046875,0.08387129238545894,0.010510288098454475,0.15986615230739115
1782845798520253000,0.3672529296875,0.08338438565135002,0.04418116009719669,0.13652283225134015
1782845798530258000,0.3772578125,0.13008242394030092,0.02300290912054479,0.1093279513336718
1782845798540263000,0.387262939453125,0.1460866332799196,0.005050561387836933,0.08844488391131163
1782845798550268000,0.397267822265625,0.17386603608727455,0.003875307063385844,0.058330608415603634
1782845798560273000,0.40727294921875,0.16043196949660776,0.0014285714983940123,0.00038680736050009725
1782845798570278000,0.41727783203125,0.16745207739174364,0.03368614263311028,-0.023060411461442706
1782845798580283000,0.427282958984375,0.14605097744464873,0.02386405599452555,-0.03498670383766293
1782845798590288000,0.437287841796875,0.11297054561972618,0.010253682988882065,-0.026602175721526143
1782845798600292900,0.44729296875,0.07940671419203281,-0.003955021236091852,-0.013859598526358603
1782845798610297900,0.4572978515625,0.012187865921854972,-0.026073914063721892,0.005256459223479032
1782845798620302800,0.467302734375,-0.0505985528588295,-0.043895913415029644,0.017005495336651803
1782845798630307800,0.477307861328125,-0.12362813323438167,-0.04846760524474084,0.03711377899423241
1782845798640312800,0.487312744140625,-0.1423445241421461,-0.037603243011608715,0.0313585764683783
1782845798650317800,0.49731787109375,-0.14267828614115713,0.011890490410476922,0.0030013737730681896
1782845798660324000,0.507323974609375,-0.09328209480941295,0.03923172099627554,-0.011430910074710846
1782845798670329000,0.5173291015625,-0.01760638383924961,0.043796617759019135,-0.03786956579759717
1782845798680334000,0.527333984375,0.05208382298052311,0.021310937445610762,-0.05664309372007847
1782845798690339000,0.537339111328125,0.13695640136301518,0.0054844227604568,-0.050359629536420106
1782845798700344000,0.547343994140625,0.1965378866225481,-0.008644567291811109,-0.04407265822142362
1782845798710349000,0.55734912109375,0.2628460497885942,0.0033810938056558367,-0.005991495499759912
1782845798720354000,0.56735400390625,0.2850105353236198,-0.00745608815960586,-0.0002763327233493328
1782845798730359000,0.577359130859375,0.2533376322090626,0.0072639996536076066,0.0145819214515388
1782845798740364000,0.587364013671875,0.23456980337500571,0.008195143023878335,0.02638692553564906
1782845798750369000,0.597369140625,0.19714812747538088,-0.004409194744378328,0.04482245367541909
1782845798760374000,0.6073740234375,0.12234861481785773,-0.023180238448828456,0.011829115612059831
1782845798770379000,0.61737890625,0.06859773540794849,0.011808292019739746,0.009911737683415413
1782845798780384000,0.627384033203125,0.04583528397977352,-0.0052563130930066105,0.02338569789305329
1782845798790389000,0.637388916015625,0.05687164177894592,-0.006388897319510579,0.023837971705198288
1782845798800394000,0.64739404296875,0.10337795688807963,-0.019421397371962665,-0.0016711480826139449
1782845798810399000,0.65739892578125,0.1381137547045946,-0.021794483178853987,0.02518076461628079
