,state_0(still),state_1(jumping),state_2(walking),state_3(standing)
state_0(still),0.9371425332163674,1.000000000000001e-12,1.0000000000000044e-12,0.06285746678564594
state_1(jumping),0.03012048008051215,0.969879519921434,1.0000000169655874e-12,1.000000000000001e-12
state_2(walking),1.000000000000001e-12,0.06321838010149426,0.9367816198856893,1.5826181552543635e-11
state_3(standing),2.3179684225438014e-12,1.0000000000036104e-12,0.062499693842481156,0.9375003061581823
