acc_mean_x,acc_mean_y,acc_mean_z,acc_std_x,acc_std_y,acc_std_z,acc_sma,acc_corr_xy,acc_corr_yz,acc_corr_xz,gyro_mean_x,gyro_mean_y,gyro_mean_z,gyro_std_x,gyro_std_y,gyro_std_z,gyro_sma,gyro_corr_xy,gyro_corr_yz,gyro_corr_xz,acc_mag_mean,acc_mag_std,acc_mag_rms,acc_dom_freq,acc_spec_energy,acc_spec_entropy,gyro_mag_mean,gyro_mag_std,gyro_mag_rms,gyro_dom_freq,gyro_spec_energy,gyro_spec_entropy,activity,session_id,window_idx,t_start
-0.0007705567810345674,0.0006239270675536179,0.0916884367937147,0.00830396124005815,0.007075630311730147,0.017515497285767175,0.10355038936139943,0.08532853389576299,-0.07577158331464807,0.41542147879786057,-0.00013414749992079,-3.4002121538297754e-07,-2.201305935159805e-05,0.0016737086274314238,0.0024151727219467447,0.0013006057038907083,0.0038815376872661056,0.21472976365062627,-0.1626883190701304,-0.10508617665342133,0.09255380636938415,0.016351096987797777,0.09398704935343923,27.0,0.013428239238093366,4.542549765723046,0.0026718431435130523,0.0017904383546944046,0.0032162735091248876,1.0,0.00016086143401329619,4.955824695210603,still,still-1-2026-06-30_19-02-26,0,0.068678466796875
-0.0015842984959369005,0.0005319962046900659,0.09209639215618369,0.00867517314556762,0.007730380334984569,0.00722280885303334,0.1054014528021683,0.1875466098981412,0.09059188727127092,0.07697253686776294,-0.00013257448910735102,5.2401064895094034e-05,0.00010896494612097002,0.0016339805030083272,0.0013229878400904623,0.0011804375726328306,0.0033101293060461396,0.0018367099145521334,0.12554109784868192,-0.10773383755098578,0.09284735524099873,0.007147969752310379,0.09312209644777202,14.0,0.002556824522355206,4.951141956894154,0.0022327414038623883,0.0009277300371594288,0.0024178124820525733,50.0,4.60625286794933e-05,4.8449488762774005,still,still-1-2026-06-30_19-02-26,1,0.56892822265625
-0.001288256539284124,0.00053777000231854,0.09089743839171524,0.009198314988750369,0.008452617183400287,0.007018203559490483,0.10536631694021749,0.12853449633197983,0.045070040167509866,0.03657481400454053,-0.00010194911505095499,-4.132278612814294e-05,3.134575672447801e-05,0.0014609846803422112,0.0012859624889776373,0.0011924696672341085,0.003152990513481046,0.05943866518663317,0.1657693930771039,-0.04135851762577209,0.09177131040542295,0.0069014934048657476,0.09203045161654863,14.0,0.0024117141059320215,4.905432699652004,0.002127051758035943,0.0008359989451784728,0.0022854416242169286,50.0,3.794799061087735e-05,4.8899527717780975,still,still-1-2026-06-30_19-02-26,2,1.069178466796875
-0.0001136307813604322,0.0005763500910056761,0.09043398267582052,0.008408123132944003,0.008223978480557772,0.006829201332119767,0.10376085114852279,-0.010802176520389431,-0.07821262360520816,0.05958435324140916,-0.00019325312867294407,-0.00021756928064859402,2.6322546182201e-05,0.0013158776151821238,0.0014154060328090586,0.0011757131237697708,0.0031786965049103288,0.03832329499863739,0.04476148464810734,-0.04960782899337264,0.09120332153938682,0.0067507630441123725,0.0914528220532015,14.0,0.002282202786540956,5.038191752990183,0.0021399774554278763,0.0007893554431154053,0.0022809176936740803,11.0,3.1333146640187806e-05,5.151607613570698,still,still-1-2026-06-30_19-02-26,3,1.56942822265625
-0.0010167568301483888,0.0005593664421746479,0.09079798783740395,0.007863971256967153,0.007536814996149072,0.007699210350482809,0.1032114458269981,-0.10400166493668085,-0.020858235894991053,-0.023490037254705512,-7.879773678723612e-05,-6.203275872394601e-05,4.390958929435961e-06,0.001443642839062398,0.001378069580771412,0.001227589075469807,0.003211383117013467,-0.059935780178353784,0.12127363559289261,-0.06264182380184842,0.09145427705875563,0.007723985531289651,0.09177987113102311,19.0,0.003022177877927146,5.157324800440519,0.0021609708896779055,0.0009112829392670247,0.0023452572953589685,18.0,4.161114193079569e-05,5.155521562006405,still,still-1-2026-06-30_19-02-26,4,2.06967822265625
-0.0015245936263262882,0.00041721985175739105,0.0907794351126253,0.008421144385501855,0.006953545611227275,0.00834928767291721,0.10346020571666255,0.06322685958904421,0.028364067863181176,0.0056642499726189295,-0.00011233246303163012,3.6398657830428e-05,-0.000105367501964783,0.0014320738319497594,0.0012790881640270789,0.001256492166573757,0.0031913626694584736,-0.0480546510692148,0.2880080656343521,-0.020068659493816463,0.09143978799010391,0.008434900343000441,0.09182800428775255,18.0,0.0035934491096920344,5.067589732051938,0.002114879226251695,0.0009044369350886701,0.002300156584057606,7.0,4.091130067986946e-05,5.1032090725622785,still,still-1-2026-06-30_19-02-26,5,2.5699287109375
-0.00044573424517526175,0.00010817052492685216,0.09117665865319963,0.008213510957776587,0.0072152917727626885,0.007659503813159384,0.10361884214907847,0.05514539777400524,0.12077741535705054,0.0303069790480567,-0.000175153875607062,-1.683188253081801e-05,-0.00017659554956479798,0.0014431890223520624,0.0013687990222419134,0.0012213974619358183,0.0032373562542487317,0.015857538123903194,0.1182696436906407,-0.015836548185344686,0.09183113820766793,0.0076567430941278805,0.09214978925274482,23.0,0.002937956630783109,5.150833479971507,0.0021513572024013817,0.0009391631624817262,0.0023474167201600524,42.0,4.428600436134933e-05,4.76701008893317,still,still-1-2026-06-30_19-02-26,6,3.0701787109375
0.000730906058308082,0.000871078083549624,0.09111167735472316,0.007803591598772293,0.007544048218605253,0.00795388350949846,0.10323901263280096,-0.010548455266751118,0.06849709163781119,-0.03141571740247915,0.00019840387394650803,-9.467830881475402e-05,-0.00019008534727616902,0.0015584742579205447,0.001383413285757021,0.0012082442703880238,0.0033153175143523506,0.055167657102308615,0.12131044424463192,0.04758550222238703,0.0917672181645632,0.007904517042178373,0.09210702318136564,35.0,0.0032123088598323773,5.035774855547539,0.002233771552763573,0.0009472347741747224,0.002426311824012244,41.0,4.500707950525775e-05,4.987605208859457,still,still-1-2026-06-30_19-02-26,7,3.57043017578125
0.0015392231817452629,0.001040562397421335,0.09187417446938154,0.008065391080752896,0.007020983406261414,0.007672380966537396,0.10399597233870285,0.007800283874174695,-0.12493469668716177,0.021403210422375776,0.000151556684286323,-0.000268447904381889,-9.6472103614356e-05,0.001444297666023252,0.001381595573562523,0.0011213094633966583,0.0032530886871971576,0.056302671903737576,0.1570213219021701,0.014643782373657883,0.0925084872828741,0.007726956978202849,0.09283063117047452,35.0,0.0030097132483763106,4.960626174110093,0.002157756425312435,0.0008369974739437652,0.002314406524870975,37.0,3.529979748135221e-05,4.913247036288837,still,still-1-2026-06-30_19-02-26,8,4.070680419921875
0.00046773341148020805,0.0009174094804832632,0.09235098066523667,0.00747319220771908,0.007039217254439936,0.006835380603756547,0.10401196650157252,0.028145651927032528,-0.04457531128188275,0.12983896568254263,1.0342136374667991e-05,-0.00025494359550065404,0.000116786770522587,0.001392744339323814,0.0012687894006421562,0.0010222636405808102,0.0029989518277578377,0.06452402323054326,0.0502756425593642,0.07521408792796917,0.09292022330772577,0.006907803869488392,0.09317663684560064,35.0,0.0023951487078052204,5.020921773359846,0.0019850903788313982,0.0008560051536443255,0.0021617882956465996,16.0,3.6640359640078455e-05,5.133109961551315,still,still-1-2026-06-30_19-02-26,9,4.5709287109375
